鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物),臺北市文山區興隆路四段９６巷４弄１０之１號三樓,29.62,都市：其他:第三種住宅區。,,,1101009,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650209,78.45,2,1,1,有,無,11370000,144933,,0.0,0,其他增建；,RPPNMLSLIIGGFAA07DA,78.45,0.0,0.0,無,001
文山區,房地(土地+建物),臺北市文山區興隆路四段７４巷２１弄３之１號四樓,22.43,都市：其他:第三種住宅區。,,,1101010,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710510,79.57,3,2,1,有,無,11200000,140757,,0.0,0,其他增建；,RPRNMLSLIIGGFAA27DA,66.38,13.19,0.0,無,002
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段７９號十樓,32.7,都市：其他:第三種住宅區。,,,1101001,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,177.41,3,1,2,有,有,23800000,152831,坡道平面,33.46,1800000,預售屋、或土地及建物分件登記案件；,RPWNMLMJJIGGFAA07DA,88.0,14.34,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段８１號七樓,41.02,都市：其他:第三種住宅區。,,,1101005,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,216.69,3,1,2,有,有,29500000,151188,坡道平面,36.12,2200000,預售屋、或土地及建物分件登記案件；,RPUOMLPJJIGGFAA27DA,113.27,15.08,0.0,,
文山區,房地(土地+建物),臺北市文山區景興路５３巷４弄６號三樓,36.5,都市：其他:第三種住宅區。,,,1101108,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660916,92.3,3,2,1,有,無,13820400,149733,,0.0,0,,RPUOMLSJJIGGFAA57DA,78.12,14.18,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段１４５巷２７號五樓之２,16.4,都市：其他:第三種住宅區。,,,1101017,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891122,92.71,2,2,1,有,有,16400000,176896,坡道機械,17.45,0,,RPPOMLRLIIGGFAA07DA,49.09,6.07,0.0,,
文山區,車位,臺北市文山區興隆路四段１０９巷９２弄２２號,4.48,都市：其他:第三種住宅區。,,,1101023,土地1建物1車位2,一層,八層,其他,一般事務所,鋼筋混凝土造,0930524,21.83,0,0,0,有,有,1100000,,其他,17.7,1100000,僅車位交易；,RPOOMLTJJIGGFAA07DA,0.0,0.0,0.0,有,003
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街１４６號六樓,19.79,都市：其他:第三種住宅區。,,,1100914,土地2建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090710,274.53,4,2,2,有,有,49500000,180308,坡道平面,0.0,0,,RPUOMLTJJIGGFAA67DA,118.01,29.72,0.0,,
中正區,房地(土地+建物),臺北市中正區羅斯福路三段１２８巷１８號二樓,34.98,都市：其他:第三種住宅區。,,,1100911,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700326,162.14,5,2,2,有,無,36000000,222030,,0.0,0,其他增建；,RPVOMLTJJIGGFAA77DA,121.06,17.42,0.0,,
文山區,房地(土地+建物),臺北市文山區羅斯福路五段４５號六樓之２,19.85,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區)。,,,1101014,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670921,97.94,3,2,2,有,有,18110000,184909,,0.0,0,,RPSNMLKKJIGGFAA56DA,65.86,10.12,0.0,有,004
