鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段７９號十樓,32.7,都市：其他:第三種住宅區。,,,1101001,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,177.41,3,1,2,有,有,23800000,152831,坡道平面,33.46,1800000,預售屋、或土地及建物分件登記案件；,RPWNMLMJJIGGFAA07DA,88.0,14.34,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段８１號七樓,41.02,都市：其他:第三種住宅區。,,,1101005,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,216.69,3,1,2,有,有,29500000,151188,坡道平面,36.12,2200000,預售屋、或土地及建物分件登記案件；,RPUOMLPJJIGGFAA27DA,113.27,15.08,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段１４５巷２７號五樓之２,16.4,都市：其他:第三種住宅區。,,,1101017,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891122,92.71,2,2,1,有,有,16400000,176896,坡道機械,17.45,0,,RPPOMLRLIIGGFAA07DA,49.09,6.07,0.0,,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街１４６號六樓,19.79,都市：其他:第三種住宅區。,,,1100914,土地2建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090710,274.53,4,2,2,有,有,49500000,180308,坡道平面,0.0,0,,RPUOMLTJJIGGFAA67DA,118.01,29.72,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０６號七樓,15.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100925,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,201.18,0,0,0,無,有,69000000,391505,坡道平面,34.26,3650000,,RPOOMLOLRHGGFCA67DA,90.43,14.52,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０８號八樓,16.06,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100725,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,203.63,0,0,0,無,有,69880000,390152,坡道平面,34.26,3800000,毛胚屋；,RPPNMLPJJIGGFCA86DA,91.53,14.89,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段１０３巷１６號十五樓,100.79,都市：其他:第三種住宅區。,,,1100320,土地1建物1車位3,十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070619,646.3199999999999,3,3,4,有,有,231330000,422135,坡道平面,119.64,9000000,,RPQNMLPJJIGGFCA96DA,280.84,46.73,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區植福路２８６巷２８號二十二樓,68.13,都市：其他:娛樂區(供觀光旅館使用)。,,,1081005,土地1建物1車位4,二十二層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,631.88,0,0,0,無,有,295450000,583097,坡道平面,151.6,15400000,,RPROMLOJJIGGFCA07DA,298.09,40.46,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０６號八樓,15.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100911,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,201.83999999999997,0,0,0,無,有,69500000,393245,坡道平面,34.26,3600000,毛胚屋；,RPPNMLRJJIGGFCA07DA,90.43,14.89,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１１２號六樓,11.34,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100926,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,152.07,0,0,0,無,有,48000000,378151,坡道平面,34.26,3450000,毛胚屋；,RPWNMLRJJIGGFCA77DA,60.9,12.66,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０８號五樓,16.06,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101003,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,203.8,0,0,0,無,有,68750000,382211,坡道平面,34.26,3950000,毛胚屋；,RPXNMLRJJIGGFCA87DA,91.53,15.35,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０６號五樓,15.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101003,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,202.01,0,0,0,無,有,68580000,384978,坡道平面,34.26,4000000,毛胚屋；,RPOOMLRJJIGGFCA07DA,90.43,15.35,0.0,,
